INFO:root:The followings are train results:
INFO:root:Epoch: 0
INFO:root:Epoch: 0 | update_interval: 1.0396131515502929 s | rate: 2.587616443634033 | distortion(mse): 0.21715763211250305 | rd_loss: 30.383792877197266
INFO:root:Epoch: 0 | update_interval: 0.5631126165390015 s | rate: 1.9889520406723022 | distortion(mse): 0.14695130288600922 | rd_loss: 20.79871940612793
INFO:root:Epoch: 0 | update_interval: 0.4041086991628011 s | rate: 1.6688687801361084 | distortion(mse): 0.11488766223192215 | rd_loss: 16.374488830566406
INFO:root:Epoch: 0 | update_interval: 0.32448846101760864 s | rate: 1.4064661264419556 | distortion(mse): 0.09664174169301987 | rd_loss: 13.77660846710205
INFO:root:Epoch: 0 | update_interval: 0.27645211219787597 s | rate: 1.2371379137039185 | distortion(mse): 0.08449623733758926 | rd_loss: 12.052653312683105
INFO:root:Epoch: 0 | update_interval: 0.24491754372914631 s | rate: 1.1252527236938477 | distortion(mse): 0.07675986737012863 | rd_loss: 10.95051383972168
INFO:root:Epoch: 0 | update_interval: 0.22224431719098772 s | rate: 1.0446584224700928 | distortion(mse): 0.07036765664815903 | rd_loss: 10.051716804504395
INFO:root:Epoch: 0 | update_interval: 0.20524803400039673 s | rate: 0.9799506068229675 | distortion(mse): 0.06554234772920609 | rd_loss: 9.369368553161621
INFO:root:Epoch: 0 | update_interval: 0.19194868405659993 s | rate: 0.9239549040794373 | distortion(mse): 0.061209749430418015 | rd_loss: 8.758800506591797
INFO:root:Epoch: 0 | update_interval: 0.18119222164154053 s | rate: 0.8789499402046204 | distortion(mse): 0.05739207938313484 | rd_loss: 8.22513484954834
INFO:root:Epoch: 0 | update_interval: 0.17277026176452637 s | rate: 0.8443553447723389 | distortion(mse): 0.05439557880163193 | rd_loss: 7.806987762451172
INFO:root:Epoch: 0 | update_interval: 0.1654659350713094 s | rate: 0.8135429620742798 | distortion(mse): 0.051793865859508514 | rd_loss: 7.443155765533447
INFO:root:Epoch: 0 | update_interval: 0.1592053193312425 s | rate: 0.7866377830505371 | distortion(mse): 0.04950445145368576 | rd_loss: 7.12320613861084
INFO:root:Epoch: 0 | update_interval: 0.1541114398411342 s | rate: 0.7641794681549072 | distortion(mse): 0.047626446932554245 | rd_loss: 6.860363006591797
INFO:root:Epoch: 0 | update_interval: 0.14961921374003093 s | rate: 0.7456279397010803 | distortion(mse): 0.045830756425857544 | rd_loss: 6.611962795257568
INFO:root:Epoch: 0 | update_interval: 0.14559187293052672 s | rate: 0.7288710474967957 | distortion(mse): 0.0443374440073967 | rd_loss: 6.404061794281006
INFO:root:Epoch: 0 | update_interval: 0.1421247257905848 s | rate: 0.7143275141716003 | distortion(mse): 0.04297497868537903 | rd_loss: 6.215123176574707
INFO:root:Epoch: 0 | update_interval: 0.13897793822818333 s | rate: 0.7021092772483826 | distortion(mse): 0.04176276922225952 | rd_loss: 6.047743320465088
INFO:root:Epoch: 0 | update_interval: 0.13621915265133505 s | rate: 0.6907590627670288 | distortion(mse): 0.04053167253732681 | rd_loss: 5.878812789916992
INFO:root:Epoch: 0 | update_interval: 0.13356343984603883 s | rate: 0.682106614112854 | distortion(mse): 0.0393763966858387 | rd_loss: 5.72228479385376
INFO:root:Epoch: 1
INFO:root:Epoch: 1 | update_interval: 0.13638730049133302 s | rate: 0.6739041805267334 | distortion(mse): 0.03820773586630821 | rd_loss: 5.564493656158447
INFO:root:Epoch: 1 | update_interval: 0.13410025943409312 s | rate: 0.6669738292694092 | distortion(mse): 0.037160713225603104 | rd_loss: 5.423543453216553
INFO:root:Epoch: 1 | update_interval: 0.13200897341189177 s | rate: 0.659854531288147 | distortion(mse): 0.036152418702840805 | rd_loss: 5.287363052368164
INFO:root:Epoch: 1 | update_interval: 0.13004912932713827 s | rate: 0.652970016002655 | distortion(mse): 0.035194795578718185 | rd_loss: 5.157902717590332
INFO:root:Epoch: 1 | update_interval: 0.1282496280670166 s | rate: 0.6464990377426147 | distortion(mse): 0.034284718334674835 | rd_loss: 5.034941673278809
INFO:root:Epoch: 1 | update_interval: 0.12664971168224629 s | rate: 0.6414810419082642 | distortion(mse): 0.0335349515080452 | rd_loss: 4.933953285217285
INFO:root:Epoch: 1 | update_interval: 0.1251259856753879 s | rate: 0.6360851526260376 | distortion(mse): 0.032804422080516815 | rd_loss: 4.835050582885742
INFO:root:Epoch: 1 | update_interval: 0.12366243260247367 s | rate: 0.6315038800239563 | distortion(mse): 0.03217271342873573 | rd_loss: 4.749610424041748
INFO:root:Epoch: 1 | update_interval: 0.12236076716719002 s | rate: 0.6262197494506836 | distortion(mse): 0.0315619632601738 | rd_loss: 4.666150093078613
INFO:root:Epoch: 1 | update_interval: 0.12123755455017089 s | rate: 0.6209871768951416 | distortion(mse): 0.030919518321752548 | rd_loss: 4.578684329986572
INFO:root:Epoch: 1 | update_interval: 0.1200712542380056 s | rate: 0.6167032718658447 | distortion(mse): 0.030368030071258545 | rd_loss: 4.503809452056885
INFO:root:Epoch: 1 | update_interval: 0.11897375881671905 s | rate: 0.6123300790786743 | distortion(mse): 0.029813844710588455 | rd_loss: 4.428500652313232
INFO:root:Epoch: 1 | update_interval: 0.1179124572060325 s | rate: 0.6080420017242432 | distortion(mse): 0.029282569885253906 | rd_loss: 4.356209754943848
