INFO:root:The followings are train results:
INFO:root:Epoch: 0
INFO:root:Epoch: 0 | update_interval: 0.3113114833831787 s | rate: 3.5568387508392334 | distortion(mse): 0.1514618694782257 | rd_loss: 313.7507629394531
INFO:root:Epoch: 0 | update_interval: 0.19909403324127198 s | rate: 2.7344160079956055 | distortion(mse): 0.11019448190927505 | rd_loss: 228.41275024414062
INFO:root:Epoch: 0 | update_interval: 0.16116795539855958 s | rate: 2.361116886138916 | distortion(mse): 0.08868560194969177 | rd_loss: 183.98922729492188
INFO:root:Epoch: 0 | update_interval: 0.14205610752105713 s | rate: 2.0368900299072266 | distortion(mse): 0.07577716559171677 | rd_loss: 157.22853088378906
INFO:root:Epoch: 0 | update_interval: 0.13073428153991698 s | rate: 1.8297829627990723 | distortion(mse): 0.06706734746694565 | rd_loss: 139.18370056152344
INFO:root:Epoch: 0 | update_interval: 0.12310060660044352 s | rate: 1.7095057964324951 | distortion(mse): 0.06163648143410683 | rd_loss: 127.94103240966797
INFO:root:Epoch: 0 | update_interval: 0.11793385233197894 s | rate: 1.6311156749725342 | distortion(mse): 0.05673198401927948 | rd_loss: 117.81822204589844
INFO:root:Epoch: 0 | update_interval: 0.11394352912902832 s | rate: 1.566120982170105 | distortion(mse): 0.05310874804854393 | rd_loss: 110.33282470703125
INFO:root:Epoch: 0 | update_interval: 0.11082425117492675 s | rate: 1.498732328414917 | distortion(mse): 0.04977480322122574 | rd_loss: 103.43751525878906
INFO:root:Epoch: 0 | update_interval: 0.10814781188964843 s | rate: 1.4440391063690186 | distortion(mse): 0.046794917434453964 | rd_loss: 97.280029296875
INFO:root:Epoch: 0 | update_interval: 0.10610509352250533 s | rate: 1.4018083810806274 | distortion(mse): 0.04449615627527237 | rd_loss: 92.52994537353516
INFO:root:Epoch: 0 | update_interval: 0.10439271132151286 s | rate: 1.3622820377349854 | distortion(mse): 0.042484212666749954 | rd_loss: 88.36994171142578
INFO:root:Epoch: 0 | update_interval: 0.10296984085669884 s | rate: 1.3269554376602173 | distortion(mse): 0.040687352418899536 | rd_loss: 84.6546401977539
INFO:root:Epoch: 0 | update_interval: 0.10186105115073067 s | rate: 1.2977443933486938 | distortion(mse): 0.03920700401067734 | rd_loss: 81.59367370605469
INFO:root:Epoch: 0 | update_interval: 0.10081842740376791 s | rate: 1.2752125263214111 | distortion(mse): 0.03777005150914192 | rd_loss: 78.6282730102539
INFO:root:Epoch: 0 | update_interval: 0.0998239427804947 s | rate: 1.2537078857421875 | distortion(mse): 0.03660103306174278 | rd_loss: 76.21261596679688
INFO:root:Epoch: 0 | update_interval: 0.0989211026360007 s | rate: 1.2349117994308472 | distortion(mse): 0.035547975450754166 | rd_loss: 74.03716278076172
INFO:root:Epoch: 0 | update_interval: 0.09817865159776476 s | rate: 1.219117283821106 | distortion(mse): 0.034617457538843155 | rd_loss: 72.11566162109375
INFO:root:Epoch: 0 | update_interval: 0.0975911767859208 s | rate: 1.2023073434829712 | distortion(mse): 0.03370945528149605 | rd_loss: 70.23926544189453
INFO:root:Epoch: 0 | update_interval: 0.09692366361618042 s | rate: 1.189099907875061 | distortion(mse): 0.0328553169965744 | rd_loss: 68.4767837524414
INFO:root:Epoch: 1
INFO:root:Epoch: 1 | update_interval: 0.10209550176348005 s | rate: 1.1772377490997314 | distortion(mse): 0.03193651884794235 | rd_loss: 66.58321380615234
INFO:root:Epoch: 1 | update_interval: 0.1013493147763339 s | rate: 1.1681525707244873 | distortion(mse): 0.031084248796105385 | rd_loss: 64.82867431640625
INFO:root:Epoch: 1 | update_interval: 0.10070408530857251 s | rate: 1.1585475206375122 | distortion(mse): 0.030258556827902794 | rd_loss: 63.1280517578125
INFO:root:Epoch: 1 | update_interval: 0.10002648035685222 s | rate: 1.149469017982483 | distortion(mse): 0.029463766142725945 | rd_loss: 61.49123764038086
INFO:root:Epoch: 1 | update_interval: 0.0994757423400879 s | rate: 1.1407418251037598 | distortion(mse): 0.02870960533618927 | rd_loss: 59.93798828125
INFO:root:Epoch: 1 | update_interval: 0.09889887112837571 s | rate: 1.134866714477539 | distortion(mse): 0.028095325455069542 | rd_loss: 58.67406463623047
INFO:root:Epoch: 1 | update_interval: 0.09842170962580928 s | rate: 1.1288745403289795 | distortion(mse): 0.027498705312609673 | rd_loss: 57.446197509765625
INFO:root:Epoch: 1 | update_interval: 0.09794851030622209 s | rate: 1.1235380172729492 | distortion(mse): 0.02700386382639408 | rd_loss: 56.427425384521484
INFO:root:Epoch: 1 | update_interval: 0.09751426926974592 s | rate: 1.1162117719650269 | distortion(mse): 0.026513729244470596 | rd_loss: 55.41630554199219
INFO:root:Epoch: 1 | update_interval: 0.0971211051940918 s | rate: 1.1092935800552368 | distortion(mse): 0.025979477912187576 | rd_loss: 54.31523895263672
INFO:root:Epoch: 1 | update_interval: 0.09672603607177735 s | rate: 1.1040120124816895 | distortion(mse): 0.02552446722984314 | rd_loss: 53.37809371948242
INFO:root:Epoch: 1 | update_interval: 0.09636960178613663 s | rate: 1.0985122919082642 | distortion(mse): 0.025068029761314392 | rd_loss: 52.43781661987305
INFO:root:Epoch: 1 | update_interval: 0.09600306857715954 s | rate: 1.092714548110962 | distortion(mse): 0.02462899312376976 | rd_loss: 51.53288269042969
INFO:root:Epoch: 1 | update_interval: 0.09567200997296502 s | rate: 1.0880279541015625 | distortion(mse): 0.024214964359998703 | rd_loss: 50.68026351928711
INFO:root:Epoch: 1 | update_interval: 0.09545360837663923 s | rate: 1.0842283964157104 | distortion(mse): 0.023812083527445793 | rd_loss: 49.85136032104492
INFO:root:Epoch: 1 | update_interval: 0.09516292545530532 s | rate: 1.0803313255310059 | distortion(mse): 0.023462556302547455 | rd_loss: 49.13163757324219
INFO:root:Epoch: 1 | update_interval: 0.09485053113988928 s | rate: 1.0767451524734497 | distortion(mse): 0.023131011053919792 | rd_loss: 48.44904708862305
INFO:root:Epoch: 1 | update_interval: 0.09465282088831851 s | rate: 1.0741479396820068 | distortion(mse): 0.02278360351920128 | rd_loss: 47.734962463378906
